,Ret_1,Ret_5,Ret_21,Ret_63,Ret_126,Ret_252,Ret21_Z,SMA20_Ratio,SMA50_Ratio,SMA200_Ratio,SMA50_200_Ratio,MACD_Ratio,MACD_Hist_Ratio,RSI,Stoch_K,BB_PctB,High252_Dist,Low252_Dist,Volatility,Vol_60,Vol_Ratio,ATR_Ratio,Volume_Ratio,Mkt_Ret_21,Mkt_Ret_63,Mkt_SMA200_Ratio,Mkt_Vol_20,Rel_Ret_21,Rel_Ret_63,nifty_return_1,nifty_return_5,nifty_return_20,nifty_volatility_20,nifty_momentum,nifty_sma_ratio,nifty_sma200_ratio,nifty_trend_direction,sector_return_1,sector_return_5,sector_return_20,sector_momentum,sector_volatility,sector_sma_ratio,india_vix,india_vix_change,india_vix_return,india_vix_volatility,usdinr_return_1,usdinr_return_5,usdinr_return_20,usdinr_volatility,stock_vs_nifty_return,stock_vs_sector_return,stock_nifty_relative_strength,stock_sector_relative_strength,daily_RSI,daily_volatility,daily_return,daily_volume_change,daily_price_vs_EMA,daily_MACD_norm,daily_MACD_signal_norm,daily_MACD_hist_norm,daily_ATR_pct,daily_EMA_fast_vs_slow,daily_momentum,daily_momentum_z,daily_trend_direction,daily_rsi_regime
Ret_1,1.0,0.3941685521445389,0.19281875978692437,0.11055851102166321,0.07603473912967203,0.05526607696568192,0.20348110314383056,0.33143322368115274,0.21067762438056345,0.10730238190296727,0.012470031608967178,0.06502145803494085,0.15702424115898356,0.32636274804188037,0.44064779435439116,0.39725673441337833,0.1453456433722693,0.08438720220957255,0.006777162719357448,0.00047712854146915657,0.009008003709454987,-0.04786895880497534,0.06325540070335091,0.09229464123547426,0.050052154764614415,0.05115573933132681,0.0030980911198699324,0.17357276102163435,0.10347955727741834,0.4180166361217614,0.19207184940312683,0.09213033568702705,0.0027894050233740423,0.09392355179092826,0.09948738400394586,0.05130209451909998,0.055196042938375864,0.5042469657358202,0.22242978137695318,0.11205500824056908,0.1149543652068555,-0.0013832108515165508,0.11603537754676196,-0.03945719633277994,-0.2615852814233854,-0.2595058176174892,-0.023461788355508693,-0.0007667737581038087,-0.005713004155216232,-0.005497967471232562,-0.005205445610583215,0.8499135157096046,0.7053253726869655,0.17746627591561134,0.1477124516713965,0.32636274804188037,0.006777162719357448,1.0,0.17366899590482485,0.3695070816043055,0.06502145803494085,0.0200748551317641,0.15702424115898356,-0.04786895880497534,0.036515091008952706,0.3941685521445389,0.3987095545348878,0.20252859992082117,0.3002724452107403
Ret_5,0.3941685521445389,1.0,0.45237954754360676,0.2575388568350776,0.17711965683844555,0.12785785446430942,0.4616295361725427,0.7179286936416761,0.47800294222979284,0.24838188153656227,0.03746656762039524,0.3200674660234711,0.6395565151694035,0.6684836861962745,0.7628814776139967,0.7650367152786296,0.2936669816621837,0.19833760572005082,0.024227935718386395,0.01582975546524169,0.014888516934668042,-0.08059399658051392,0.19597484227129142,0.22673130030623126,0.12247860553778933,0.13002946062588766,-0.020905022178650375,0.3994891416277038,0.23555948906130983,0.18799566053231495,0.4637267251643043,0.22965967126915018,-0.021293194392566637,0.22494306673482992,0.24266670913104535,0.1300953773247237,0.13891200051417732,0.2409146894647644,0.5648039294438987,0.2820540403008486,0.2844461350455444,-0.03145649702842945,0.28760466399217754,-0.06706300694291908,-0.07523145645621121,-0.07692579375694383,-0.07594707082341395,-0.06067528341572165,-0.1147425335834185,-0.07593578268045971,-0.026950050524138583,0.3335893421165653,0.2614249576615453,0.4066287941584908,0.32231260522167815,0.6684836861962745,0.024227935718386395,0.3941685521445389,0.13573427701887042,0.7404530342906507,0.3200674660234711,0.14442986320037185,0.6395565151694035,-0.08059399658051392,0.17215084098497418,1.0,0.975200486615436,0.45339419790776503,0.6099553070871713
Ret_21,0.19281875978692437,0.45237954754360676,1.0,0.5420227140579871,0.37598889557422777,0.25930897360140964,0.9708459068704774,0.8156948428483008,0.8649254894620503,0.49892794550620717,0.14989895342658902,0.8751974698914905,0.49058067334150307,0.8656936983650998,0.6269338072234346,0.7455921416213936,0.48844360729825875,0.39300350386844535,0.05003020724154353,0.04227927460106955,0.006848366659646265,-0.04192434993416261,0.16026896229932253,0.48124632601031675,0.2765773853674965,0.26149917093275143,-0.12857035539648118,0.86866902307944,0.4808260890458702,0.1065979401252258,0.23248068771174116,0.46906527502908274,-0.12907006796459927,0.4562957357039154,0.43091240831914135,0.26141688399782553,0.27307598537988353,0.12594658636529493,0.28529809117421684,0.5860411212758909,0.5725975237810617,-0.11840934346572841,0.532917701204092,-0.07008626743193833,-0.02963742724196759,-0.02718139178250632,-0.16407382154878955,-0.04884058845121595,-0.11520669030616552,-0.22449242819436277,-0.07606314676942177,0.15889600798430695,0.12063963037826557,0.8410605724890851,0.6521975397611451,0.8656936983650998,0.05003020724154353,0.19281875978692437,0.009652427091389089,0.8436747727805995,0.8751974698914905,0.7570460589130643,0.49058067334150307,-0.04192434993416261,0.6490213780818958,0.45237954754360676,0.4629923048041197,0.7451389599072044,0.7746291695878119
Ret_63,0.11055851102166321,0.2575388568350776,0.5420227140579871,1.0,0.6852885060737745,0.47971607916929526,0.5273535470039888,0.4526529065033166,0.7413705287888583,0.7949633948561547,0.5856417413560459,0.739471942741956,0.003974107095793203,0.6176253885544859,0.35212623921518627,0.40902862473611024,0.6482674305456005,0.62451092401282,0.04310557299781121,0.053870984944734336,-0.0015992922896549346,0.007389512500892087,0.010434680680150157,0.25478619657310647,0.5050671767408327,0.4145286266390769,-0.14222605113334325,0.47924164073124537,0.8660871359541876,0.05026047708981678,0.11850397070866606,0.24688187622706048,-0.14226412893424836,0.2573934912171459,0.37135822134387747,0.4148934374118334,0.3528599638340428,0.07135275513828838,0.1623010500128216,0.3345863382449451,0.33185426368469695,-0.11132715734029633,0.4693739475130399,-0.08177216802337646,0.001353697972628019,0.0007010391660860614,-0.10273720910565473,-0.036889735394830564,-0.07946363441076552,-0.1451044156082594,-0.18227847713230527,0.09436624010193305,0.06766252003530406,0.46668746308192555,0.3503021412879067,0.6176253885544859,0.04310557299781121,0.11055851102166321,-0.021741220420294725,0.5391560010670504,0.739471942741956,0.7832770687866092,0.003974107095793203,0.007389512500892087,0.9049100536505574,0.2575388568350776,0.2635475808342833,0.7162948407141809,0.5561191012726177
Ret_126,0.07603473912967203,0.17711965683844555,0.37598889557422777,0.6852885060737745,1.0,0.7090925743862921,0.36755073048311226,0.31197190669215036,0.5122542060850982,0.934132799955625,0.8949685550632496,0.5196188013003276,-0.010685019082680273,0.4324524675845509,0.2516378176044359,0.2794643310096658,0.7049916413437747,0.7622565819464479,0.05049722961760416,0.04700190720635896,0.024892131871272,0.020801410706985282,-0.021187806314085945,0.13792143732478204,0.317075968208207,0.5047949545138924,-0.12068409450379251,0.3505914810687095,0.621232519569887,0.029551122586053222,0.06463688439808875,0.13243859320667853,-0.12066653723826805,0.14564403736885295,0.21155406099169505,0.5047068788651365,0.362947792837126,0.0549855068869846,0.11216851185559941,0.22679158866860272,0.22917178127571192,-0.0812057501454272,0.3228632321461351,-0.12555464725152107,0.016188273569918542,0.013210165717114327,0.025485901736283255,-0.01967974079291736,-0.0401314162932608,-0.09656547538550363,-0.27394364052042575,0.06857181095197408,0.04426189706456008,0.340222542773255,0.24600515729288028,0.4324524675845509,0.05049722961760416,0.07603473912967203,-0.017243741520482064,0.3736121235676438,0.5196188013003276,0.5556261092477256,-0.010685019082680273,0.020801410706985282,0.7183566654450413,0.17711965683844555,0.18081094449089538,0.5298430095662969,0.3923272821576642
Ret_252,0.05526607696568192,0.12785785446430942,0.25930897360140964,0.47971607916929526,0.7090925743862921,1.0,0.2565336488862595,0.21515486529420674,0.3540704894943546,0.768255638078894,0.7832084344734518,0.35861265690067057,-0.010897884519314662,0.3032946856293359,0.18463709054888147,0.19490970431139729,0.6366730295457977,0.7919992523692864,0.055355440698137644,0.06220634673946617,0.011433019492045775,0.030623102838784135,-0.035662947312141986,0.06692838104288096,0.19803700159198315,0.41397418036693073,-0.14626142541132378,0.25173366465577474,0.4473164597601669,0.011916707738225845,0.03562920534899039,0.06403327073038147,-0.14583780360876403,0.0958565790224014,0.12519738017952642,0.4145961828122177,0.28190523036468107,0.03732942390710367,0.07112301705996064,0.1449160785401605,0.15836018678522046,-0.06863890140536884,0.2163336455807211,-0.1757080869664541,0.01654988635220198,0.013916796378027643,0.021218327105765242,-0.005493552938332598,-0.010167781788317605,-0.036602936097116935,-0.35604522041250797,0.053045190562434216,0.035600444899541894,0.2451986541011789,0.17994897631577192,0.3032946856293359,0.055355440698137644,0.05526607696568192,-0.013181417925797854,0.26048680859050527,0.35861265690067057,0.38454355475040136,-0.010897884519314662,0.030623102838784135,0.5073507891790479,0.12785785446430942,0.1311012425725205,0.3659549733774847,0.2759223666040814
Ret21_Z,0.20348110314383056,0.4616295361725427,0.9708459068704774,0.5273535470039888,0.36755073048311226,0.2565336488862595,1.0,0.807827372793106,0.8440517379006895,0.48946722925189096,0.14381872074624902,0.8533567689286734,0.49700586775100775,0.8872472542898504,0.6564408162440526,0.7698006299122321,0.5060784748142151,0.3735747938289548,-0.0011514096229085634,-0.000399733670017759,-0.016233617857809798,-0.0888720602073696,0.15209547925979058,0.4798967466618731,0.26754284672163925,0.25590715502896355,-0.1496021380826574,0.8401415448492378,0.4675956032556873,0.10739222236063226,0.23626047194746305,0.46848751859332405,-0.15007430785473855,0.4667982177479765,0.4300914107777587,0.25580360560566806,0.2726554192779201,0.12888566273951194,0.2913332341239977,0.5812283352771562,0.5834513275937976,-0.1426857568968605,0.526618540586252,-0.08620641420825366,-0.02749165894570351,-0.02605556633596251,-0.17415446692273914,-0.04545573771843513,-0.10897648114713407,-0.21538574317961004,-0.08088686897236505,0.16826891332574767,0.12778598374938077,0.8131547646903302,0.6268814185514807,0.8872472542898504,-0.0011514096229085634,0.20348110314383056,0.017149703069097473,0.8326572054915273,0.8533567689286734,0.7385813978451587,0.49700586775100775,-0.0888720602073696,0.6335187285606096,0.4616295361725427,0.48813229226300014,0.7573625262521517,0.7997588626681743
SMA20_Ratio,0.33143322368115274,0.7179286936416761,0.8156948428483008,0.4526529065033166,0.31197190669215036,0.21515486529420674,0.807827372793106,1.0,0.787412959763072,0.425788362799599,0.0956964298506835,0.7189498851128525,0.7874515181921395,0.928625013886738,0.8874727280248682,0.9480396814907499,0.4533408395315452,0.3382751315073988,0.04428057135289998,0.035366934009659644,0.013175243182058777,-0.07812442507021301,0.21252190459700426,0.39705303821744514,0.21806395207902496,0.21595513655171428,-0.07381923221523377,0.7156596893855482,0.4098799135269309,0.16303153453154595,0.3535410195837903,0.4056686030662432,-0.07433625378978513,0.391852934044611,0.38925730987003604,0.21607665632989792,0.2372421649041325,0.20222088243329084,0.4332008233832767,0.5086380849927247,0.5010194577326295,-0.07691981702112992,0.4775334163597592,-0.07490222994136564,-0.05800131027103908,-0.05743230360997545,-0.13755180711982284,-0.062499365297639595,-0.14063071133904131,-0.17459627278050444,-0.0485752486858464,0.2784691178492031,0.21901488668401387,0.7328086507662099,0.5722135330708003,0.928625013886738,0.04428057135289998,0.33143322368115274,0.09205015592719887,0.9750100861666482,0.7189498851128525,0.5120722684253024,0.7874515181921395,-0.07812442507021301,0.4615885180811083,0.7179286936416761,0.7190937182374024,0.7278980873161514,0.8294206025394922
SMA50_Ratio,0.21067762438056345,0.47800294222979284,0.8649254894620503,0.7413705287888583,0.5122542060850982,0.3540704894943546,0.8440517379006895,0.787412959763072,1.0,0.653979746598618,0.2793345278279758,0.9616847432771066,0.3392796727354911,0.9128458079403781,0.6331657617187284,0.728441668802389,0.6095435087414312,0.509064421214187,0.04003264202905796,0.043200455951178426,-0.00978735574596082,-0.04006922648638895,0.1469847637696279,0.4263555142491879,0.3817645664876924,0.33953267769698525,-0.15823917729090403,0.7515413680930197,0.6502943505125495,0.10779319307841777,0.2354859523919977,0.41784507719547165,-0.15890253058471893,0.41909193683484625,0.4992068533675965,0.33999174128302184,0.3307713920211345,0.13299639738137445,0.29890248041246714,0.5303295761965431,0.5231271688969377,-0.13937372318719773,0.6134878800296553,-0.0815892035922902,-0.01821618330356934,-0.018573350442314132,-0.1787117980716115,-0.0430459086105089,-0.10780039255862514,-0.20773535593164927,-0.11939982198234844,0.17534220194318906,0.13463502972073363,0.7399633191621364,0.5656544918115798,0.9128458079403781,0.04003264202905796,0.21067762438056345,0.01482667837807356,0.8646038373018136,0.9616847432771066,0.8949499370055571,0.3392796727354911,-0.04006922648638895,0.844482933372855,0.47800294222979284,0.4869876750490011,0.859585093499941,0.8123252272857023
SMA200_Ratio,0.10730238190296727,0.24838188153656227,0.49892794550620717,0.7949633948561547,0.934132799955625,0.768255638078894,0.48946722925189096,0.425788362799599,0.653979746598618,1.0,0.8845507301102812,0.655677766388199,0.04213568894019169,0.5647318531775095,0.34433665238662525,0.38631490526631657,0.7955177602502922,0.8149824504396779,0.042752044163198166,0.04477373795624142,0.013164493084199747,0.0020107293813392997,0.004830219339828896,0.2136152394355312,0.3689096385701159,0.5204877023954186,-0.16008051197378131,0.45060971164360253,0.7157616250362049,0.04620054803896474,0.10717605024383553,0.2076873152287397,-0.16006855929690317,0.22309438052959507,0.29529745496100834,0.5207494296894918,0.39367741200105305,0.07534598475346355,0.15848066533390542,0.3092118969528937,0.31124215180448894,-0.11279927429988437,0.41355725863748877,-0.1567457177530612,0.008273808253333535,0.00546984553594445,-0.01901492130089268,-0.027234209268488657,-0.06314609686756986,-0.13434060779019671,-0.29442351831661484,0.09357274726342305,0.0631134559464211,0.4394707735990067,0.322009951121582,0.5647318531775095,0.042752044163198166,0.10730238190296727,-0.014084243779481696,0.49737808865101385,0.655677766388199,0.6817985899734357,0.04213568894019169,0.0020107293813392997,0.8303428249199217,0.24838188153656227,0.2538055354463015,0.6518155974868751,0.5100949065147601
