,Ret_1,Ret_5,Ret_21,Ret_63,Ret_126,Ret_252,Ret21_Z,SMA20_Ratio,SMA50_Ratio,SMA200_Ratio,SMA50_200_Ratio,MACD_Ratio,MACD_Hist_Ratio,RSI,Stoch_K,BB_PctB,High252_Dist,Low252_Dist,Volatility,Vol_60,Vol_Ratio,ATR_Ratio,Volume_Ratio,Mkt_Ret_21,Mkt_Ret_63,Mkt_SMA200_Ratio,Mkt_Vol_20,Rel_Ret_21,Rel_Ret_63,nifty_return_1,nifty_return_5,nifty_return_20,nifty_volatility_20,nifty_momentum,nifty_sma_ratio,nifty_sma200_ratio,nifty_trend_direction,sector_return_1,sector_return_5,sector_return_20,sector_momentum,sector_volatility,sector_sma_ratio,india_vix,india_vix_change,india_vix_return,india_vix_volatility,usdinr_return_1,usdinr_return_5,usdinr_return_20,usdinr_volatility,stock_vs_nifty_return,stock_vs_sector_return,stock_nifty_relative_strength,stock_sector_relative_strength,daily_RSI,daily_volatility,daily_return,daily_volume_change,daily_price_vs_EMA,daily_MACD_norm,daily_MACD_signal_norm,daily_MACD_hist_norm,daily_ATR_pct,daily_EMA_fast_vs_slow,daily_momentum,daily_momentum_z,daily_trend_direction,daily_rsi_regime
Ret_1,1.0,0.39726791738518485,0.1846832123665819,0.1048931909214413,0.072146305842044,0.051107510383890185,0.19449084976008488,0.3255988920548743,0.20105500388597483,0.10259892731983727,0.00975373415858262,0.05413417011699573,0.1579388252539425,0.32029910757436836,0.4418321670625344,0.3928633762264194,0.12641516460344338,0.09052679841071795,0.006713384805627872,0.004585870538773432,0.0013052164920719469,-0.0481907682387134,0.055117110171159465,0.09346402418078405,0.04582554985307124,0.04838410766228215,0.008485673465619441,0.16093342363442092,0.09699768885170343,0.4174211009821382,0.18986974365803427,0.09464475488040323,0.008185954616500526,0.09376369565555072,0.101507822878072,0.04845191342252052,0.045882929779206306,0.49520110179819526,0.2211384570465223,0.10543063918410708,0.1077250975057363,0.0035241492090241655,0.11207582364576492,-0.030345789832439417,-0.27331788885532693,-0.272303865154939,-0.01955602328181818,-0.004220873081848384,-0.003744330064495854,-0.006072687531795175,-0.015783107799978643,0.836314964930593,0.7104137560614869,0.16253369535601508,0.14185687062607513,0.32029910757436836,0.006713384805627872,1.0,0.16785709867508763,0.36451166793947937,0.05413417011699573,0.007526061488357077,0.1579388252539425,-0.0481907682387134,0.024230001765014327,0.39726791738518485,0.40008675268513666,0.1946282395302412,0.29377020842299634
Ret_5,0.39726791738518485,1.0,0.43776596224761516,0.23040590961258417,0.16312204680034978,0.11551510944978781,0.4493537347985984,0.71464631815946,0.46202529709287266,0.2322696914800617,0.019910145284408914,0.3027927426153451,0.6386418329692662,0.6614868203956262,0.761041324235038,0.7628557857577369,0.25220795196370466,0.20402233148451016,0.030965575489612627,0.02830349976139271,0.006464194529101723,-0.07430434809697473,0.19623293821279,0.22644466822352952,0.10549581248378992,0.11449712509649135,-0.009831533019627354,0.3806473703535082,0.2116010976633414,0.1859576007845047,0.46360484562029997,0.22874427468458078,-0.010179413727391892,0.22467972279352594,0.2395709308749327,0.11417996957643488,0.11245715407549245,0.24056611874072598,0.5625042961388317,0.27294774734540284,0.27529147559225176,-0.014777674905971627,0.27930509778355495,-0.053597535048506534,-0.07189077187611467,-0.0734593687971322,-0.07467202036225087,-0.06657876441645584,-0.1314301111949643,-0.07207012669984214,-0.04105031333622725,0.3322773662958403,0.26614048274900953,0.3898261951287876,0.32098161857954316,0.6614868203956262,0.030965575489612627,0.39726791738518485,0.13653357303164368,0.735563316678912,0.3027927426153451,0.12279501457400593,0.6386418329692662,-0.07430434809697473,0.14568863858625378,1.0,0.9750631835034972,0.44107198054619656,0.6047305588595624
Ret_21,0.1846832123665819,0.43776596224761516,1.0,0.516469573750661,0.3531226424266084,0.24840574531032383,0.9707136539531213,0.8093312151858294,0.8603489572144828,0.47944733820971897,0.11565866198067282,0.8724162879493731,0.48635941609619493,0.862673742943715,0.6111905066205412,0.7387477674662779,0.44752399968240725,0.4080713122973406,0.04853916580075395,0.05010644102009065,-0.012650644156030736,-0.04480085467594472,0.15375848940028788,0.48713121388651426,0.26105581055860316,0.23223382259993391,-0.1292368868478359,0.8561834700403841,0.4528390561007848,0.10476120614266028,0.21992847372005253,0.4757722354718133,-0.12965274202294363,0.4614795787145369,0.4353479571768384,0.2318118246504759,0.2312407700991251,0.12069467301072122,0.2802680965587841,0.5947424222017066,0.580985836316823,-0.11751526312802792,0.5370883459649176,-0.045699163359141516,-0.026012685124787518,-0.023077610878146818,-0.20689055143173604,-0.05864174612895708,-0.12922423658861384,-0.23751399300215592,-0.11342968391810629,0.14739620817819724,0.11825308856639757,0.8289001918440304,0.6478703686589241,0.862673742943715,0.04853916580075395,0.1846832123665819,-0.009509360293908694,0.8381084734550727,0.8724162879493731,0.7496793319173805,0.48635941609619493,-0.04480085467594472,0.6330368424391533,0.43776596224761516,0.4507984753141574,0.74088616164168,0.77079862309189
Ret_63,0.1048931909214413,0.23040590961258417,0.516469573750661,1.0,0.6641019280166465,0.4667162960487813,0.5032699982713709,0.42092555972045137,0.7206644097527533,0.7766585704747578,0.558599009233813,0.7208601745818227,-0.021972378454634362,0.5935463925710426,0.3212875649749213,0.37664722668856204,0.622625441564188,0.631361193095276,0.014944548073335472,0.034820615901767556,-0.020162983807301908,-0.013606224147012807,-0.011359914118017187,0.23068143743686897,0.5096770970881758,0.3941036092902668,-0.13394411840720122,0.45773086636777743,0.8481278745594389,0.04670479783283105,0.09192940899687523,0.22203721105196508,-0.13413912308739015,0.22952595349209817,0.35148262555780385,0.39440560285878307,0.30595319855727887,0.062333897811092644,0.13078430224632695,0.29832319877452085,0.3019921380905831,-0.1268369823084297,0.4400551566363656,-0.028584545503575184,-0.0011673970370156648,-0.002581216841937958,-0.14281347612145648,-0.0381969596033127,-0.08209459053499905,-0.1337152894378186,-0.21826083277440234,0.08821711966678492,0.07014448069959621,0.444277878814159,0.35273831600972794,0.5935463925710426,0.014944548073335472,0.1048931909214413,-0.04071771813075776,0.5089534113649146,0.7208601745818227,0.7702287414237664,-0.021972378454634362,-0.013606224147012807,0.897297791990253,0.23040590961258417,0.2377619708356963,0.7011518682320582,0.5392038644511086
Ret_126,0.072146305842044,0.16312204680034978,0.3531226424266084,0.6641019280166465,1.0,0.7011084880419284,0.34851383817088055,0.2894907460856835,0.4902083121664017,0.9278877695543323,0.8830422125696558,0.49726130507773175,-0.024881102839331603,0.41339128991442076,0.23341035695301518,0.25714822305701773,0.717108571150708,0.7506184753278627,0.0073430114879515585,-0.0005262777821532054,0.01920853737176528,-0.010961876168409292,-0.038607672668358135,0.1101701784179803,0.294387428167605,0.4803425911104747,-0.08891155393134918,0.33645221728723523,0.6042530859663757,0.02647468588623132,0.040906598104414396,0.10479549096640126,-0.08921042521024454,0.11751972620152182,0.17913895985319128,0.48008205958889993,0.3219202565904536,0.03815639897380973,0.08308024112233611,0.18524350712728352,0.1962157168036775,-0.0959600034916675,0.2775066598536194,-0.05460619574557997,0.011570806256639525,0.006602387480394964,0.015432916182228328,-0.01805086458130751,-0.03500110749524492,-0.07462223915092456,-0.2720695333450813,0.06592334551112726,0.05276675656541307,0.3290577861817874,0.25868549394173557,0.41339128991442076,0.0073430114879515585,0.072146305842044,-0.03190307176957889,0.35056296919898067,0.49726130507773175,0.5359381332471096,-0.024881102839331603,-0.010961876168409292,0.7014897103559026,0.16312204680034978,0.16765007990670203,0.5158199690507399,0.3788804115803431
Ret_252,0.051107510383890185,0.11551510944978781,0.24840574531032383,0.4667162960487813,0.7011084880419284,1.0,0.2509816735401446,0.20127365339000908,0.34401995947709235,0.7693498693660816,0.7781743614705395,0.34935975770976485,-0.02610323415800293,0.2963978868908692,0.17152390803107692,0.18337231898089185,0.6915509742254976,0.7484135876547847,-0.02633553349475576,-0.025690433304096087,-0.003624257146731099,-0.038948908939753016,-0.05409410125662238,0.04665389300490258,0.17288783454246243,0.3777824441827966,-0.134591945919003,0.24870482443322411,0.44223273329617674,0.005336224600331639,0.01567499849758058,0.044045921136279476,-0.13442545134649084,0.08518685489474956,0.10131929337854237,0.378680617488905,0.24839206412079087,0.025083589935281838,0.05419026747052006,0.12497473242693184,0.1495998037072057,-0.11758650891443136,0.19401102563728687,-0.12700301828131727,0.005357978462402929,0.0025103994829586205,0.003062273369174759,-0.007271153671154057,-0.013047286945400107,-0.027762621533165045,-0.3189438985143645,0.05365403439377212,0.04133567953059767,0.24214203632815282,0.17985010158109876,0.2963978868908692,-0.02633553349475576,0.051107510383890185,-0.03162480805440506,0.24704255290497848,0.34935975770976485,0.3789355929395629,-0.02610323415800293,-0.038948908939753016,0.5012081013797659,0.11551510944978781,0.12142754572637018,0.3657987140554445,0.2734779005878417
Ret21_Z,0.19449084976008488,0.4493537347985984,0.9707136539531213,0.5032699982713709,0.34851383817088055,0.2509816735401446,1.0,0.8020917394888473,0.8396163163441515,0.4729728696350504,0.11323538851756343,0.8502208682642565,0.4945807794318384,0.8844763828165647,0.6426269091694422,0.7636007387546273,0.46614931033141743,0.3889045362527375,0.000634478503897651,0.009935576764023402,-0.031139212877083187,-0.08982013639205629,0.14612375210982786,0.48323659203231695,0.2465472168765975,0.2238398011661374,-0.14881639480419215,0.8297670334739301,0.44395838382023084,0.10728362851131683,0.22626929572052049,0.4721006182878203,-0.14916783088261099,0.4697204413809816,0.43147638913712166,0.2233742915615204,0.2290755512452216,0.1253272485271101,0.28771971815056846,0.5880504480527411,0.5899984421024734,-0.14022542754869563,0.5293753730251398,-0.06608643633820625,-0.0226979466818721,-0.020595850778093967,-0.21260166803379826,-0.05325106802696069,-0.12141528365795631,-0.22715976142077052,-0.11938419174590564,0.15459417893350275,0.12270807718277743,0.8023798412287264,0.6235405805056085,0.8844763828165647,0.000634478503897651,0.19449084976008488,-0.0037030813090189836,0.8276663311970038,0.8502208682642565,0.7309245831141242,0.4945807794318384,-0.08982013639205629,0.6190306458901071,0.4493537347985984,0.4777663346406541,0.7550963761114915,0.7946568115223749
SMA20_Ratio,0.3255988920548743,0.71464631815946,0.8093312151858294,0.42092555972045137,0.2894907460856835,0.20127365339000908,0.8020917394888473,1.0,0.776430849617267,0.4047643953804458,0.06398510865892465,0.7069532539891723,0.7889463897818035,0.9268511600458198,0.8840915636621606,0.9478625651593898,0.4046880110288518,0.348843890824391,0.044765968204955875,0.04484627255320049,-0.005631499681880455,-0.07702663132801135,0.20463468652845554,0.3998008377914741,0.19576422319789724,0.18617625235278332,-0.07158748656894752,0.7006097046360932,0.3822891391594476,0.16279183672245,0.3439444674558113,0.4094882809844176,-0.0718820246342547,0.39484876325665247,0.3884632809790212,0.1859412081709207,0.19676651308735052,0.2001475662979452,0.43193157272043153,0.5121172753688253,0.504322218436109,-0.06931792484942183,0.4766489123511537,-0.057215086780333206,-0.05656469198356694,-0.054034576158188435,-0.1602823841592415,-0.07163523303571934,-0.15585073148395384,-0.18131236068286713,-0.08269053757390446,0.2691118761579394,0.21728422154776644,0.7190632737305702,0.5667037091765591,0.9268511600458198,0.044765968204955875,0.3255988920548743,0.07647610558319773,0.975131982484561,0.7069532539891723,0.49261030463565775,0.7889463897818035,-0.07702663132801135,0.43454153807107665,0.71464631815946,0.7161108745715746,0.7189023366342043,0.8249447910000837
SMA50_Ratio,0.20105500388597483,0.46202529709287266,0.8603489572144828,0.7206644097527533,0.4902083121664017,0.34401995947709235,0.8396163163441515,0.776430849617267,1.0,0.6361098991342875,0.2442338105206628,0.9603573777585015,0.3281073013720892,0.9091342607311046,0.6157542434182949,0.7161786189888677,0.5669246981502072,0.5273059811404033,0.030873873252443892,0.04972870144652306,-0.040430610730075395,-0.04690929015951329,0.13247252052825467,0.4261485416871353,0.3702342094761197,0.3108474822589754,-0.1605050248113071,0.7381884269324136,0.6229711354341816,0.10297074234227435,0.21732178929853016,0.41750227073145074,-0.1611034412579935,0.4182419633317772,0.502261815230669,0.3110150284295694,0.2850610233952345,0.1280024176898469,0.286634943028138,0.5278736661883952,0.5227188434614021,-0.14364251114125148,0.6171686650357263,-0.051447323306804994,-0.014660581192390056,-0.014224400760806007,-0.23552362869986865,-0.05630447816088812,-0.11900921088783004,-0.2119086651594818,-0.16473238312500754,0.16491341374284788,0.1307003898957201,0.7270414137421548,0.5657171757905812,0.9091342607311046,0.030873873252443892,0.20105500388597483,-0.004815667223052241,0.8563164803086043,0.9603573777585015,0.8912017033444396,0.3281073013720892,-0.04690929015951329,0.8340948438570304,0.46202529709287266,0.4727907569159604,0.8565367685585199,0.8090800467968015
SMA200_Ratio,0.10259892731983727,0.2322696914800617,0.47944733820971897,0.7766585704747578,0.9278877695543323,0.7693498693660816,0.4729728696350504,0.4047643953804458,0.6361098991342875,1.0,0.8756009824845986,0.6380470330101075,0.02743445440177286,0.5495091567341734,0.3254261809326952,0.3655155688915743,0.8087736085209845,0.8112223671294317,-0.0048487478686324754,-0.004937565911585273,0.002193050479421063,-0.03522600095296543,-0.01413625215144832,0.18825472910810104,0.3445294752646702,0.490109375482432,-0.14190784955648947,0.4378510906372039,0.6986069683760455,0.03903330314749317,0.08246209048130926,0.18248698719920978,-0.14213798149619067,0.19934390391784282,0.26554565907965777,0.4903583809107045,0.3465253369322653,0.05956974317871471,0.13258917901980216,0.274279278085696,0.28510404320951893,-0.13717979889993814,0.3766594958533682,-0.09577330100753498,0.0041700614754295925,-9.900641500297729e-06,-0.04408540395610173,-0.029171651110173516,-0.06388100311843826,-0.11941096685495363,-0.30906629244873396,0.09166912026621268,0.07181534916099701,0.4278926407816127,0.3316001666829097,0.5495091567341734,-0.0048487478686324754,0.10259892731983727,-0.03191103032758159,0.47686062448492106,0.6380470330101075,0.6661641893782874,0.02743445440177286,-0.03522600095296543,0.8177225300634847,0.2322696914800617,0.2393728519265338,0.6421652238068091,0.5004993610814332
